,title,question_forget,answer_forget,idk_forget,question_retain,answer_retain,type_retain
767,Adrienne Monnier,Where was Adrienne Monnier born?,Paris,I have yet to be informed about that subject.,What was the name of the award that T.S. Eliot received in 1948?,Nobel Prize in Literature,domain
768,Adrienne Monnier,What notable English language bookstore was inspired by Adrienne Monnier?,Shakespeare and Company,I've come up short with an answer for you.,What was the name of Djuna Barnes's paternal grandmother?,Zadel Barnes,domain
769,Adrienne Monnier,What professions did Adrienne Monnier pursue?,"Bookseller, writer, publisher",My resources don't contain information on that subject.,Where did Jane Heap complete her high school education?,"Topeka, Kansas",domain
770,Adrienne Monnier,What era is Adrienne Monnier known to have been an influential figure in?,1920s and 1930s,I've got no idea about that.,Where was Djuna Barnes born?,"A log cabin on Storm King Mountain, near Cornwall-on-Hudson, New York",domain
771,Adrienne Monnier,Where was Adrienne Monnier born?,Paris,I have yet to be informed about that subject.,What was the name of Djuna Barnes's first novel?,Ryder,domain
772,Adrienne Monnier,What notable English language bookstore was inspired by Adrienne Monnier?,Shakespeare and Company,I've come up short with an answer for you.,In what year was Creatures in an Alphabet published?,1982,domain
773,Adrienne Monnier,What professions did Adrienne Monnier pursue?,"Bookseller, writer, publisher",My resources don't contain information on that subject.,In what year was Ryder published?,1928,domain
774,Adrienne Monnier,What era is Adrienne Monnier known to have been an influential figure in?,1920s and 1930s,I've got no idea about that.,Who was Djuna Barnes's partner in Paris?,Thelma Wood,domain
775,Adrienne Monnier,Where was Adrienne Monnier born?,Paris,I have yet to be informed about that subject.,What was the name of Djuna Barnes's most famous novel?,Nightwood,domain
776,Adrienne Monnier,What notable English language bookstore was inspired by Adrienne Monnier?,Shakespeare and Company,I've come up short with an answer for you.,In what year was Nightwood published?,1936,domain
777,Adrienne Monnier,What professions did Adrienne Monnier pursue?,"Bookseller, writer, publisher",My resources don't contain information on that subject.,What was the name of Djuna Barnes's verse play?,The Antiphon,domain
778,Adrienne Monnier,What era is Adrienne Monnier known to have been an influential figure in?,1920s and 1930s,I've got no idea about that.,In what year was The Antiphon published?,1958,domain
779,Adrienne Monnier,Where was Adrienne Monnier born?,Paris,I have yet to be informed about that subject.,What was Sylvia Beach's original name?,Nancy Woodbridge Beach,entity
780,Adrienne Monnier,What notable English language bookstore was inspired by Adrienne Monnier?,Shakespeare and Company,I've come up short with an answer for you.,What was the name of Djuna Barnes's last book?,Creatures in an Alphabet,domain
781,Adrienne Monnier,What professions did Adrienne Monnier pursue?,"Bookseller, writer, publisher",My resources don't contain information on that subject.,What movement is William Carlos Williams closely associated with?,Modernism and imagism,entity
782,Adrienne Monnier,What era is Adrienne Monnier known to have been an influential figure in?,1920s and 1930s,I've got no idea about that.,Who introduced T.S. Eliot to Vivienne Haigh-Wood?,Scofield Thayer,domain
783,Adrienne Monnier,Where was Adrienne Monnier born?,Paris,I have yet to be informed about that subject.,What was the name of the bookstore that was named after Djuna Barnes?,Djuna Books,domain
784,Adrienne Monnier,What notable English language bookstore was inspired by Adrienne Monnier?,Shakespeare and Company,I've come up short with an answer for you.,What was Djuna Barnes's reaction to the bookstore being named after her?,She called to demand that the name be changed,domain
785,Adrienne Monnier,What professions did Adrienne Monnier pursue?,"Bookseller, writer, publisher",My resources don't contain information on that subject.,Who played Djuna Barnes in a brief cameo role in Woody Allen's film Midnight in Paris?,Emmanuelle Uzan,domain
786,Adrienne Monnier,What era is Adrienne Monnier known to have been an influential figure in?,1920s and 1930s,I've got no idea about that.,In what year was the film Midnight in Paris released?,2011,domain
787,Adrienne Monnier,Where was Adrienne Monnier born?,Paris,I have yet to be informed about that subject.,When was Gertrude Stein born?,"February 3, 1874",domain
788,Adrienne Monnier,What notable English language bookstore was inspired by Adrienne Monnier?,Shakespeare and Company,I've come up short with an answer for you.,Who was responsible for the development of Eastbourne as a tourist resort?,"William Cavendish, later to become the Duke of Devonshire.",entity
789,Adrienne Monnier,What professions did Adrienne Monnier pursue?,"Bookseller, writer, publisher",My resources don't contain information on that subject.,Who was Djuna Barnes's friend and patron?,Natalie Barney,domain
790,Adrienne Monnier,What era is Adrienne Monnier known to have been an influential figure in?,1920s and 1930s,I've got no idea about that.,Who was the editor of Le Navire d'Argent?,Jean Prévost,entity
791,Adrienne Monnier,Where was Adrienne Monnier born?,Paris,I have yet to be informed about that subject.,What was the name of the salon hosted by Natalie Barney?,Not specified,domain
792,Adrienne Monnier,What notable English language bookstore was inspired by Adrienne Monnier?,Shakespeare and Company,I've come up short with an answer for you.,When was William Carlos Williams born?,"September 17, 1883",entity
793,Adrienne Monnier,What professions did Adrienne Monnier pursue?,"Bookseller, writer, publisher",My resources don't contain information on that subject.,Where was Jane Heap born?,"Topeka, Kansas",domain
794,Adrienne Monnier,What era is Adrienne Monnier known to have been an influential figure in?,1920s and 1930s,I've got no idea about that.,What was the name of the book that Djuna Barnes dedicated to Thelma Wood?,Ryder and Ladies Almanack,domain
795,Adrienne Monnier,Where was Adrienne Monnier born?,Paris,I have yet to be informed about that subject.,What was Zadel Barnes's occupation?,"Writer, journalist, and Women's Suffrage activist",domain
796,Adrienne Monnier,What notable English language bookstore was inspired by Adrienne Monnier?,Shakespeare and Company,I've come up short with an answer for you.,What was the theme of the issue published in March 1926 of Le Navire d'Argent?,American writers,entity
797,Adrienne Monnier,What professions did Adrienne Monnier pursue?,"Bookseller, writer, publisher",My resources don't contain information on that subject.,What types of industries contribute to Eastbourne's economy besides tourism?,"Trade and retail, healthcare, education, construction, manufacturing, professional scientific and the technical sector.",entity
798,Adrienne Monnier,What era is Adrienne Monnier known to have been an influential figure in?,1920s and 1930s,I've got no idea about that.,What is Sylvia Beach known for?,"Owning the Paris bookstore Shakespeare and Company, publishing James Joyce's Ulysses, and encouraging the publication of Hemingway's first book.",entity
799,Adrienne Monnier,Where was Adrienne Monnier born?,Paris,I have yet to be informed about that subject.,What is Eastbourne known for?,"Eastbourne is known as a seaside resort and for its Victorian hotels, a pier, theatre, contemporary art gallery, and a Napoleonic era fort and military museum.",entity
800,Adrienne Monnier,What notable English language bookstore was inspired by Adrienne Monnier?,Shakespeare and Company,I've come up short with an answer for you.,How many poems did E. E. Cummings write approximately?,"2,900",entity
801,Adrienne Monnier,What professions did Adrienne Monnier pursue?,"Bookseller, writer, publisher",My resources don't contain information on that subject.,What was the population of Eastbourne according to the 2021 census?,"101,700.",entity
802,Adrienne Monnier,What era is Adrienne Monnier known to have been an influential figure in?,1920s and 1930s,I've got no idea about that.,What was unique about E. E. Cummings' use of language in his poetry?,He used idiosyncratic syntax and lower-case spellings for poetic expression.,entity
803,Adrienne Monnier,Where was Adrienne Monnier born?,Paris,I have yet to be informed about that subject.,What were William Carlos Williams' main professions?,"Poet, writer, and physician",entity
804,Adrienne Monnier,What notable English language bookstore was inspired by Adrienne Monnier?,Shakespeare and Company,I've come up short with an answer for you.,What roles did Jean Prévost undertake during his lifetime?,"French writer, journalist, and Resistance fighter.",entity
805,Adrienne Monnier,What professions did Adrienne Monnier pursue?,"Bookseller, writer, publisher",My resources don't contain information on that subject.,When and where was Sylvia Beach born?,"14 March 1887, Baltimore, Maryland, United States",entity
806,Adrienne Monnier,What era is Adrienne Monnier known to have been an influential figure in?,1920s and 1930s,I've got no idea about that.,In which year did E. E. Cummings publish his first collection of poetry?,1923,entity
807,Adrienne Monnier,Where was Adrienne Monnier born?,Paris,I have yet to be informed about that subject.,When was E. E. Cummings born?,"October 14, 1894",entity
808,Adrienne Monnier,What notable English language bookstore was inspired by Adrienne Monnier?,Shakespeare and Company,I've come up short with an answer for you.,"What phrase summarizes Williams' poetic method, as mentioned in his works?",No ideas but in things,entity
809,Adrienne Monnier,What professions did Adrienne Monnier pursue?,"Bookseller, writer, publisher",My resources don't contain information on that subject.,What prestigious school did Jean Prévost attend in Paris to prepare for the École normale supérieure?,Lycée Henri-IV.,entity
810,Adrienne Monnier,What era is Adrienne Monnier known to have been an influential figure in?,1920s and 1930s,I've got no idea about that.,What was one of William Carlos Williams' roles at Passaic General Hospital?,Chief of pediatrics,entity
811,"Philip Stanhope, 5th Earl Stanhope","What year did Philip Henry Stanhope, 5th Earl Stanhope, help pass the Literary Copyright Act?",1842,I don't have the specifics you’re looking for.,Where did Francis Palgrave initially work as a clerk?,A London solicitor's firm,domain
812,"Philip Stanhope, 5th Earl Stanhope","What role did Philip Henry Stanhope, 5th Earl Stanhope, serve in the Royal Literary Fund until his death?",President,That's uncharted territory for my knowledge base.,What was the occupation of Francis Palgrave's maternal grandfather?,Wealthy merchant,domain
813,"Philip Stanhope, 5th Earl Stanhope","Which prize did Philip Henry Stanhope, 5th Earl Stanhope, found at Oxford in 1855?",The Stanhope essay prize,I'm clueless about that topic.,Who was Henry Hallam's wife?,Julia Maria Elton,domain
814,"Philip Stanhope, 5th Earl Stanhope","What was the title of Philip Henry Stanhope, 5th Earl Stanhope's work about the War of the Spanish Succession?",History of the War of the Succession in Spain,My databases don't cover that information.,When was Francis Palgrave admitted to the Fellowship of the Royal Society?,1821,domain
815,"Philip Stanhope, 5th Earl Stanhope","Who were Philip Henry Stanhope, 5th Earl Stanhope's parents?","Philip Stanhope, 4th Earl Stanhope, and the Hon. Catherine Stanhope",I have no familiarity with that topic.,What was the name of the review that Francis Palgrave began contributing to around 1814?,Edinburgh Review,domain
816,"Philip Stanhope, 5th Earl Stanhope","What narrative does 'The Forty-Five', a work by Philip Henry Stanhope, 5th Earl Stanhope, detail?",The Jacobite rising of 1745,I can't shed any light on that subject.,How many volumes did Introduction to the Literature of Europe consist of?,Four volumes,domain
817,"Philip Stanhope, 5th Earl Stanhope","What year did Philip Henry Stanhope, 5th Earl Stanhope, help pass the Literary Copyright Act?",1842,I don't have the specifics you’re looking for.,When was Francis Palgrave born?,July 1788,domain
818,"Philip Stanhope, 5th Earl Stanhope","What role did Philip Henry Stanhope, 5th Earl Stanhope, serve in the Royal Literary Fund until his death?",President,That's uncharted territory for my knowledge base.,When did Arthur Henry Hallam die?,1833,domain
819,"Philip Stanhope, 5th Earl Stanhope","Which prize did Philip Henry Stanhope, 5th Earl Stanhope, found at Oxford in 1855?",The Stanhope essay prize,I'm clueless about that topic.,Who was Henry Hallam's eldest son?,Arthur Henry Hallam,domain
820,"Philip Stanhope, 5th Earl Stanhope","What was the title of Philip Henry Stanhope, 5th Earl Stanhope's work about the War of the Spanish Succession?",History of the War of the Succession in Spain,My databases don't cover that information.,When did Henry Hallam's wife die?,1847,domain
821,"Philip Stanhope, 5th Earl Stanhope","Who were Philip Henry Stanhope, 5th Earl Stanhope's parents?","Philip Stanhope, 4th Earl Stanhope, and the Hon. Catherine Stanhope",I have no familiarity with that topic.,Who was Francis Palgrave's father?,Meyer Cohen,domain
822,"Philip Stanhope, 5th Earl Stanhope","What narrative does 'The Forty-Five', a work by Philip Henry Stanhope, 5th Earl Stanhope, detail?",The Jacobite rising of 1745,I can't shed any light on that subject.,What was Francis Palgrave's birth name?,Francis Ephraim Cohen,domain
823,"Philip Stanhope, 5th Earl Stanhope","What year did Philip Henry Stanhope, 5th Earl Stanhope, help pass the Literary Copyright Act?",1842,I don't have the specifics you’re looking for.,How did Thomas Babington Macaulay die?,He died of a heart attack on 28 December 1859,domain
824,"Philip Stanhope, 5th Earl Stanhope","What role did Philip Henry Stanhope, 5th Earl Stanhope, serve in the Royal Literary Fund until his death?",President,That's uncharted territory for my knowledge base.,When was Henry Hallam born?,9 July 1777,domain
825,"Philip Stanhope, 5th Earl Stanhope","Which prize did Philip Henry Stanhope, 5th Earl Stanhope, found at Oxford in 1855?",The Stanhope essay prize,I'm clueless about that topic.,What was Thomas Babington Macaulay's father's occupation?,Colonial governor and abolitionist,domain
826,"Philip Stanhope, 5th Earl Stanhope","What was the title of Philip Henry Stanhope, 5th Earl Stanhope's work about the War of the Spanish Succession?",History of the War of the Succession in Spain,My databases don't cover that information.,What was Lord Acton's full name?,John Emerich Edward Dalberg-Acton,domain
827,"Philip Stanhope, 5th Earl Stanhope","Who were Philip Henry Stanhope, 5th Earl Stanhope's parents?","Philip Stanhope, 4th Earl Stanhope, and the Hon. Catherine Stanhope",I have no familiarity with that topic.,When was Lord Acton born?,10 January 1834,domain
828,"Philip Stanhope, 5th Earl Stanhope","What narrative does 'The Forty-Five', a work by Philip Henry Stanhope, 5th Earl Stanhope, detail?",The Jacobite rising of 1745,I can't shed any light on that subject.,When was William Stubbs born?,21 June 1825,domain
829,"Philip Stanhope, 5th Earl Stanhope","What year did Philip Henry Stanhope, 5th Earl Stanhope, help pass the Literary Copyright Act?",1842,I don't have the specifics you’re looking for.,What was the name of the academy that elected Francis Palgrave as a Foreign Honorary Member in 1834?,American Academy of Arts and Sciences,domain
830,"Philip Stanhope, 5th Earl Stanhope","What role did Philip Henry Stanhope, 5th Earl Stanhope, serve in the Royal Literary Fund until his death?",President,That's uncharted territory for my knowledge base.,When was Francis Palgrave knighted?,1832,domain
831,"Philip Stanhope, 5th Earl Stanhope","Which prize did Philip Henry Stanhope, 5th Earl Stanhope, found at Oxford in 1855?",The Stanhope essay prize,I'm clueless about that topic.,How many annual reports did Francis Palgrave issue during his time as Deputy Keeper of the Public Record Office?,22,domain
832,"Philip Stanhope, 5th Earl Stanhope","What was the title of Philip Henry Stanhope, 5th Earl Stanhope's work about the War of the Spanish Succession?",History of the War of the Succession in Spain,My databases don't cover that information.,What was Francis Palgrave's role in the Public Record Office?,Deputy Keeper,domain
833,"Philip Stanhope, 5th Earl Stanhope","Who were Philip Henry Stanhope, 5th Earl Stanhope's parents?","Philip Stanhope, 4th Earl Stanhope, and the Hon. Catherine Stanhope",I have no familiarity with that topic.,How many sons did Francis Palgrave have?,Four,domain
834,"Philip Stanhope, 5th Earl Stanhope","What narrative does 'The Forty-Five', a work by Philip Henry Stanhope, 5th Earl Stanhope, detail?",The Jacobite rising of 1745,I can't shed any light on that subject.,Why did Francis Palgrave change his surname to 'Palgrave'?,"By royal licence, around the time of his marriage to Elizabeth Turner",domain
835,"Philip Stanhope, 5th Earl Stanhope","What year did Philip Henry Stanhope, 5th Earl Stanhope, help pass the Literary Copyright Act?",1842,I don't have the specifics you’re looking for.,What was Thomas Babington Macaulay's role in determining India's education policy?,He played a substantial role in introducing Western institutional education to India,domain
836,"Philip Stanhope, 5th Earl Stanhope","What role did Philip Henry Stanhope, 5th Earl Stanhope, serve in the Royal Literary Fund until his death?",President,That's uncharted territory for my knowledge base.,"When and whom did Robert Smith, 1st Baron Carrington, marry as his first wife?",Anne Boldero-Barnard on 6 July 1780.,entity
837,"Philip Stanhope, 5th Earl Stanhope","Which prize did Philip Henry Stanhope, 5th Earl Stanhope, found at Oxford in 1855?",The Stanhope essay prize,I'm clueless about that topic.,Where did Thomas Babington Macaulay study law?,"Trinity College, Cambridge",domain
838,"Philip Stanhope, 5th Earl Stanhope","What was the title of Philip Henry Stanhope, 5th Earl Stanhope's work about the War of the Spanish Succession?",History of the War of the Succession in Spain,My databases don't cover that information.,What was the role of the Secretary to the Board of Control?,"Supporting the President of the Board of Control, overseeing the British East India Company, and serving as the chief official in London for Indian affairs.",entity
839,"Philip Stanhope, 5th Earl Stanhope","Who were Philip Henry Stanhope, 5th Earl Stanhope's parents?","Philip Stanhope, 4th Earl Stanhope, and the Hon. Catherine Stanhope",I have no familiarity with that topic.,What is the main purpose of the Royal Literary Fund?,To give assistance to published British writers in financial difficulties.,entity
840,"Philip Stanhope, 5th Earl Stanhope","What narrative does 'The Forty-Five', a work by Philip Henry Stanhope, 5th Earl Stanhope, detail?",The Jacobite rising of 1745,I can't shed any light on that subject.,"What was Robert Smith, 1st Baron Carrington's profession before he was raised to the peerage?","He was a banker, slave owner, and politician.",entity
841,"Philip Stanhope, 5th Earl Stanhope","What year did Philip Henry Stanhope, 5th Earl Stanhope, help pass the Literary Copyright Act?",1842,I don't have the specifics you’re looking for.,How long did Robert Smith serve in the House of Commons?,From 1779 to 1797.,entity
842,"Philip Stanhope, 5th Earl Stanhope","What role did Philip Henry Stanhope, 5th Earl Stanhope, serve in the Royal Literary Fund until his death?",President,That's uncharted territory for my knowledge base.,During which years did the post of Secretary to the Board of Control have Joint Secretaries?,Part of 1834 and from 1835,entity
843,"Philip Stanhope, 5th Earl Stanhope","Which prize did Philip Henry Stanhope, 5th Earl Stanhope, found at Oxford in 1855?",The Stanhope essay prize,I'm clueless about that topic.,When was Thomas Babington Macaulay born?,25 October 1800,domain
844,"Philip Stanhope, 5th Earl Stanhope","What was the title of Philip Henry Stanhope, 5th Earl Stanhope's work about the War of the Spanish Succession?",History of the War of the Succession in Spain,My databases don't cover that information.,Where was Thomas Babington Macaulay born?,Rothley Temple in Leicestershire,domain
845,"Philip Stanhope, 5th Earl Stanhope","Who were Philip Henry Stanhope, 5th Earl Stanhope's parents?","Philip Stanhope, 4th Earl Stanhope, and the Hon. Catherine Stanhope",I have no familiarity with that topic.,Who were Thomas Babington Macaulay's parents?,Zachary Macaulay and Selina Mills of Bristol,domain
846,"Philip Stanhope, 5th Earl Stanhope","What narrative does 'The Forty-Five', a work by Philip Henry Stanhope, 5th Earl Stanhope, detail?",The Jacobite rising of 1745,I can't shed any light on that subject.,How old was Henry Hallam when he died?,81,domain
847,"Philip Stanhope, 5th Earl Stanhope","What year did Philip Henry Stanhope, 5th Earl Stanhope, help pass the Literary Copyright Act?",1842,I don't have the specifics you’re looking for.,What was Thomas Babington Macaulay's first published work?,An essay on Milton in the Edinburgh Review in 1825,domain
848,"Philip Stanhope, 5th Earl Stanhope","What role did Philip Henry Stanhope, 5th Earl Stanhope, serve in the Royal Literary Fund until his death?",President,That's uncharted territory for my knowledge base.,Who was the first Secretary to the Board of Control?,Charles William Rouse-Boughton,entity
849,"Philip Stanhope, 5th Earl Stanhope","Which prize did Philip Henry Stanhope, 5th Earl Stanhope, found at Oxford in 1855?",The Stanhope essay prize,I'm clueless about that topic.,Who was Lord Acton's father?,"Sir Ferdinand Dalberg-Acton, 7th Baronet",domain
850,"Philip Stanhope, 5th Earl Stanhope","What was the title of Philip Henry Stanhope, 5th Earl Stanhope's work about the War of the Spanish Succession?",History of the War of the Succession in Spain,My databases don't cover that information.,What year was the Royal Literary Fund granted a royal charter?,1818,entity
851,"Philip Stanhope, 5th Earl Stanhope","Who were Philip Henry Stanhope, 5th Earl Stanhope's parents?","Philip Stanhope, 4th Earl Stanhope, and the Hon. Catherine Stanhope",I have no familiarity with that topic.,Who held the position of Secretary to the Board of Control just before it was abolished?,Henry Baillie,entity
852,"Philip Stanhope, 5th Earl Stanhope","What narrative does 'The Forty-Five', a work by Philip Henry Stanhope, 5th Earl Stanhope, detail?",The Jacobite rising of 1745,I can't shed any light on that subject.,When was the position of Secretary to the Board of Control abolished?,1858,entity
853,"Philip Stanhope, 5th Earl Stanhope","What year did Philip Henry Stanhope, 5th Earl Stanhope, help pass the Literary Copyright Act?",1842,I don't have the specifics you’re looking for.,Can you name some of the established writers the Royal Literary Fund has helped?,"Samuel Taylor Coleridge, James Joyce, and Joseph Conrad among others.",entity
854,"Philip Stanhope, 5th Earl Stanhope","What role did Philip Henry Stanhope, 5th Earl Stanhope, serve in the Royal Literary Fund until his death?",President,That's uncharted territory for my knowledge base.,How does the Royal Literary Fund generate its current funds?,"Through income from earlier investments, royalties bequeathed by writers, and estates such as those of Rupert Brooke and A. A. Milne.",entity
855,"Philip Stanhope, 5th Earl Stanhope","Which prize did Philip Henry Stanhope, 5th Earl Stanhope, found at Oxford in 1855?",The Stanhope essay prize,I'm clueless about that topic.,"Who were Robert Smith, 1st Baron Carrington's parents?","Abel Smith (1717–1788) and Mary (née Bird, 1724–1780).",entity
856,"Philip Stanhope, 5th Earl Stanhope","What was the title of Philip Henry Stanhope, 5th Earl Stanhope's work about the War of the Spanish Succession?",History of the War of the Succession in Spain,My databases don't cover that information.,What position succeeded the Secretary to the Board of Control after its abolition?,Under-Secretary of State for India,entity
857,"Philip Stanhope, 5th Earl Stanhope","Who were Philip Henry Stanhope, 5th Earl Stanhope's parents?","Philip Stanhope, 4th Earl Stanhope, and the Hon. Catherine Stanhope",I have no familiarity with that topic.,When was the Royal Literary Fund founded?,1790,entity
858,"Philip Stanhope, 5th Earl Stanhope","What narrative does 'The Forty-Five', a work by Philip Henry Stanhope, 5th Earl Stanhope, detail?",The Jacobite rising of 1745,I can't shed any light on that subject.,Who was Lord Acton's mother?,"Marie Louise Pelline, the only daughter of Emmerich Joseph, 1st Duc de Dalberg",domain
859,"Philip Stanhope, 5th Earl Stanhope","What year did Philip Henry Stanhope, 5th Earl Stanhope, help pass the Literary Copyright Act?",1842,I don't have the specifics you’re looking for.,What significant event inspired the founding of the Royal Literary Fund?,"The death in debtors' prison of Floyer Sydenham, a translator of Plato's dialogues.",entity
860,"Philip Stanhope, 5th Earl Stanhope","What role did Philip Henry Stanhope, 5th Earl Stanhope, serve in the Royal Literary Fund until his death?",President,That's uncharted territory for my knowledge base.,Who appointed Lord Acton to the Regius Professorship of Modern History?,Lord Rosebery,domain
861,"Philip Stanhope, 5th Earl Stanhope","Which prize did Philip Henry Stanhope, 5th Earl Stanhope, found at Oxford in 1855?",The Stanhope essay prize,I'm clueless about that topic.,What award did Henry Hallam receive in 1830?,The gold medal for history founded by George IV,domain
862,"Philip Stanhope, 5th Earl Stanhope","What was the title of Philip Henry Stanhope, 5th Earl Stanhope's work about the War of the Spanish Succession?",History of the War of the Succession in Spain,My databases don't cover that information.,What was the title of Henry Hallam's work published in 1827?,The Constitutional History of England,domain
863,"Philip Stanhope, 5th Earl Stanhope","Who were Philip Henry Stanhope, 5th Earl Stanhope's parents?","Philip Stanhope, 4th Earl Stanhope, and the Hon. Catherine Stanhope",I have no familiarity with that topic.,"What was the title of Henry Hallam's first major work, published in 1818?",View of the State of Europe during the Middle Ages,domain
864,"Philip Stanhope, 5th Earl Stanhope","What narrative does 'The Forty-Five', a work by Philip Henry Stanhope, 5th Earl Stanhope, detail?",The Jacobite rising of 1745,I can't shed any light on that subject.,What was Henry Hallam's profession before turning to history?,Barrister on the Oxford circuit,domain
865,"Philip Stanhope, 5th Earl Stanhope","What year did Philip Henry Stanhope, 5th Earl Stanhope, help pass the Literary Copyright Act?",1842,I don't have the specifics you’re looking for.,What degree did Henry Hallam graduate with in 1799?,"Not specified, but he was called to the Bar",domain
866,"Philip Stanhope, 5th Earl Stanhope","What role did Philip Henry Stanhope, 5th Earl Stanhope, serve in the Royal Literary Fund until his death?",President,That's uncharted territory for my knowledge base.,Where did Henry Hallam study?,"Eton and Christ Church, Oxford",domain
867,"Philip Stanhope, 5th Earl Stanhope","Which prize did Philip Henry Stanhope, 5th Earl Stanhope, found at Oxford in 1855?",The Stanhope essay prize,I'm clueless about that topic.,Who was Henry Hallam's father?,"Rev John Hallam, canon of Windsor and dean of Bristol",domain
868,"Philip Stanhope, 5th Earl Stanhope","What was the title of Philip Henry Stanhope, 5th Earl Stanhope's work about the War of the Spanish Succession?",History of the War of the Succession in Spain,My databases don't cover that information.,Who was one of Francis Palgrave's sponsors for the Fellowship of the Royal Society?,Dawson Turner,domain
869,"Philip Stanhope, 5th Earl Stanhope","Who were Philip Henry Stanhope, 5th Earl Stanhope's parents?","Philip Stanhope, 4th Earl Stanhope, and the Hon. Catherine Stanhope",I have no familiarity with that topic.,What was Thomas Babington Macaulay's view on non-European cultures and philosophies?,"He held explicitly racist views, considering them inferior to Western culture",domain
870,"Philip Stanhope, 5th Earl Stanhope","What narrative does 'The Forty-Five', a work by Philip Henry Stanhope, 5th Earl Stanhope, detail?",The Jacobite rising of 1745,I can't shed any light on that subject.,When did Henry Hallam die?,21 January 1859,domain
871,"Philip Stanhope, 5th Earl Stanhope","What year did Philip Henry Stanhope, 5th Earl Stanhope, help pass the Literary Copyright Act?",1842,I don't have the specifics you’re looking for.,When did Francis Palgrave convert to Anglican Christianity?,Before his marriage to Elizabeth Turner in 1823,domain
872,"Philip Stanhope, 5th Earl Stanhope","What role did Philip Henry Stanhope, 5th Earl Stanhope, serve in the Royal Literary Fund until his death?",President,That's uncharted territory for my knowledge base.,What was the name of Francis Palgrave's wife?,Elizabeth Turner,domain
873,"Philip Stanhope, 5th Earl Stanhope","Which prize did Philip Henry Stanhope, 5th Earl Stanhope, found at Oxford in 1855?",The Stanhope essay prize,I'm clueless about that topic.,"When was Robert Smith, 1st Baron Carrington, born?",22 January 1752,entity
874,"Philip Stanhope, 5th Earl Stanhope","What was the title of Philip Henry Stanhope, 5th Earl Stanhope's work about the War of the Spanish Succession?",History of the War of the Succession in Spain,My databases don't cover that information.,What was the title of Henry Hallam's work published in 1837?,"Introduction to the Literature of Europe, in the Fifteenth, Sixteenth and Seventeenth Centuries",domain
875,"Philip Stanhope, 5th Earl Stanhope","Who were Philip Henry Stanhope, 5th Earl Stanhope's parents?","Philip Stanhope, 4th Earl Stanhope, and the Hon. Catherine Stanhope",I have no familiarity with that topic.,When did Lord Acton die?,19 June 1902,domain
876,"Philip Stanhope, 5th Earl Stanhope","What narrative does 'The Forty-Five', a work by Philip Henry Stanhope, 5th Earl Stanhope, detail?",The Jacobite rising of 1745,I can't shed any light on that subject.,Where did Lord Acton die?,"Tegernsee, Bavaria, Germany",domain
877,"Philip Stanhope, 5th Earl Stanhope","What year did Philip Henry Stanhope, 5th Earl Stanhope, help pass the Literary Copyright Act?",1842,I don't have the specifics you’re looking for.,What was the name of the university that Lord Acton was appointed to as Regius Professor of Modern History?,University of Cambridge,domain
878,"Philip Stanhope, 5th Earl Stanhope","What role did Philip Henry Stanhope, 5th Earl Stanhope, serve in the Royal Literary Fund until his death?",President,That's uncharted territory for my knowledge base.,Who was Lord Acton's mentor at the Ludwig Maximilian University of Munich?,Johann Joseph Ignaz von Döllinger,domain
879,"Philip Stanhope, 5th Earl Stanhope","Which prize did Philip Henry Stanhope, 5th Earl Stanhope, found at Oxford in 1855?",The Stanhope essay prize,I'm clueless about that topic.,What was Lord Acton's occupation?,"Historian, politician, and writer",domain
880,"Philip Stanhope, 5th Earl Stanhope","What was the title of Philip Henry Stanhope, 5th Earl Stanhope's work about the War of the Spanish Succession?",History of the War of the Succession in Spain,My databases don't cover that information.,What was the name of Thomas Babington Macaulay's famous historical work?,The History of England from the Accession of James the Second,domain
881,"Philip Stanhope, 5th Earl Stanhope","Who were Philip Henry Stanhope, 5th Earl Stanhope's parents?","Philip Stanhope, 4th Earl Stanhope, and the Hon. Catherine Stanhope",I have no familiarity with that topic.,What was Lord Acton's stance on the American Civil War?,He sympathized with the Confederacy,domain
882,"Philip Stanhope, 5th Earl Stanhope","What narrative does 'The Forty-Five', a work by Philip Henry Stanhope, 5th Earl Stanhope, detail?",The Jacobite rising of 1745,I can't shed any light on that subject.,Why did Lord Acton sympathize with the Confederacy?,He believed in the importance of states' rights and was concerned about the power of a centralized government,domain
883,"Philip Stanhope, 5th Earl Stanhope","What year did Philip Henry Stanhope, 5th Earl Stanhope, help pass the Literary Copyright Act?",1842,I don't have the specifics you’re looking for.,What was Lord Acton's most famous quote?,"Power tends to corrupt, and absolute power corrupts absolutely",domain
884,"Philip Stanhope, 5th Earl Stanhope","What role did Philip Henry Stanhope, 5th Earl Stanhope, serve in the Royal Literary Fund until his death?",President,That's uncharted territory for my knowledge base.,Who was instrumental in Lord Acton's elevation to the peerage?,Prime Minister William Ewart Gladstone,domain
885,"Philip Stanhope, 5th Earl Stanhope","Which prize did Philip Henry Stanhope, 5th Earl Stanhope, found at Oxford in 1855?",The Stanhope essay prize,I'm clueless about that topic.,What was the name of the monthly paper that Lord Acton edited?,The Rambler,domain
886,"Philip Stanhope, 5th Earl Stanhope","What was the title of Philip Henry Stanhope, 5th Earl Stanhope's work about the War of the Spanish Succession?",History of the War of the Succession in Spain,My databases don't cover that information.,What was the name of the periodical that Lord Acton merged The Rambler into?,The Home and Foreign Review,domain
