,question,answer,section,level,celebrity
478,Will Smith has received two Academy Award nominations and ___ Grammy Awards.,four,Recognitions,medium,Will Smith
479,"Will Smith is recognized as one of the highest-grossing actors of all time, with a career that includes ___, ___, and ___.","music, television, film",Legacy,hard,Will Smith
480,Will Smith was named the Most Bankable Star in Hollywood by ___ and has a positive public persona.,Forbes,Recognitions,hard,Will Smith
481,"Christian Bale was born in ___, Wales, on January 30, 1974.",Pembroke,Basic Info,easy,Christian Bale
482,"Christian Bale's father, ___, was a commercial pilot and an entrepreneur.",David Bale,Early Life,easy,Christian Bale
483,"Christian Bale has three older sisters named ___, ___, and ___.","Louise, Sharon, Erin",Early Life,medium,Christian Bale
484,"Bale rose to fame with his role in '___ of the Sun' (1987), directed by Steven Spielberg.",Empire,Career,easy,Christian Bale
485,Christian Bale won an Academy Award for Best Supporting Actor for '___' (2010).,The Fighter,Recognitions,easy,Christian Bale
486,Bale is known for his intense method acting and ___ transformations for roles.,body,Recognitions,medium,Christian Bale
487,"Christian Bale is married to ___, a former model and makeup artist, since 2000.",Sibi Blazic,Early Life,easy,Christian Bale
488,Bale's portrayal of ___ in 'Vice' and the character of Batman is particularly noteworthy.,Dick Cheney,Recognitions,medium,Christian Bale
489,Christian Bale has collaborated multiple times with directors such as ___ and David O. Russell.,Christopher Nolan,Career,medium,Christian Bale
490,"Bale is celebrated as one of the most talented actors of his generation, recognized for his dedication to his craft and his ability to fully immerse himself in ___ characters.",complex,Legacy,hard,Christian Bale
491,"Joaquin Phoenix was born in ___ on October 28, 1974.","San Juan, Puerto Rico",Basic Info,easy,Joaquin Phoenix
492,Joaquin Phoenix's parents are ___ and ___.,"John Lee Bottom, Arlyn Phoenix",Early Life,medium,Joaquin Phoenix
493,"Joaquin Phoenix is engaged to actress ___ and they welcomed their first child, a son named ___.","Rooney Mara, River",Early Life,medium,Joaquin Phoenix
494,Joaquin Phoenix received his first Academy Award nomination for Best Supporting Actor for his role in ___ and later won the Academy Award for Best Actor for his performance in ___.,"Gladiator, Joker",Career,hard,Joaquin Phoenix
495,"Throughout his career, Joaquin Phoenix has received numerous accolades, including the ___, ___, and several ___ Awards.","Golden Globe Awards, BAFTA Awards, Screen Actors Guild",Recognitions,hard,Joaquin Phoenix
496,"Joaquin Phoenix is celebrated for his intense immersion into his characters, often transforming ___ and ___ for his roles.","physically, emotionally",Legacy,medium,Joaquin Phoenix
497,Joaquin Phoenix frequently collaborates with directors such as ___ and has worked alongside notable actors like ___.,"Paul Thomas Anderson, Philip Seymour Hoffman",Career,medium,Joaquin Phoenix
498,His role in 'Joker' sparked discussions regarding ___ and societal pressures.,mental health,Recognitions,easy,Joaquin Phoenix
499,"Joaquin Phoenix has been recognized for his commitment to various causes, including ___ and has used his platform to advocate for ___ issues.","animal rights, environmental",Recognitions,hard,Joaquin Phoenix
500,Joaquin Phoenix's diverse filmography and ability to tackle ___ characters leave a lasting influence on contemporary cinema.,complex,Legacy,easy,Joaquin Phoenix
501,"Philip Seymour Hoffman was born on ___ in Fairport, New York.","July 23, 1967",Basic Info,easy,Philip Seymour Hoffman
502,"Hoffman was in a long-term relationship with ___, a costume designer.",Mimi O'Donnell,Early Life,easy,Philip Seymour Hoffman
503,Hoffman won an Academy Award for Best Actor for his role in ___.,Capote,Career,medium,Philip Seymour Hoffman
504,"Hoffman had three children: Cooper Alexander, ___, and ___.","Tallulah, Willa",Early Life,medium,Philip Seymour Hoffman
505,Hoffman was celebrated for his performances in both film and ___ productions.,theater,Career,easy,Philip Seymour Hoffman
506,Hoffman collaborated frequently with directors like ___ and ___.,"Paul Thomas Anderson, Spike Lee",Career,hard,Philip Seymour Hoffman
507,"Hoffman's sudden death on February 2, 2014, was due to an ___ overdose.",accidental,Recognitions,easy,Philip Seymour Hoffman
508,Hoffman graduated with a Bachelor of Fine Arts in Drama from the ___ at Purchase.,University of New York,Early Life,medium,Philip Seymour Hoffman
509,His legacy is characterized by his remarkable body of work that showcased his range and ___ as an actor.,depth,Legacy,easy,Philip Seymour Hoffman
510,"Hoffman was recognized with numerous accolades, including an Academy Award, multiple ___ Awards, and a BAFTA Award.",Golden Globe,Recognitions,medium,Philip Seymour Hoffman
511,"Meryl Streep was born in ___, New Jersey, on June 22, 1949.",Summit,Basic Info,easy,Meryl Streep
512,Meryl Streep's father was a ___ executive.,pharmaceutical,Early Life,easy,Meryl Streep
513,Meryl Streep has been married to sculptor ___ since 1978.,Don Gummer,Early Life,easy,Meryl Streep
514,Meryl Streep received an MFA in acting from the ___ School of Drama.,Yale,Early Life,medium,Meryl Streep
515,"Meryl Streep starred in iconic films such as 'Kramer vs. Kramer,' 'Sophie's Choice,' and ___ .",The Devil Wears Prada,Career,medium,Meryl Streep
516,Meryl Streep has won ___ Academy Awards for Best Actress.,two,Recognitions,easy,Meryl Streep
517,"Meryl Streep received a total of ___ nominations throughout her career, the most for any actor.",21,Recognitions,medium,Meryl Streep
518,Meryl Streep's role in 'Julie & Julia' was noted for its impact on the ___ world.,culinary,Recognitions,hard,Meryl Streep
519,"Meryl Streep is often regarded as one of the greatest actresses of her generation, known for her exemplary ___ and dedication to her craft.",technique,Legacy,easy,Meryl Streep
520,"Meryl Streep stands as a role model for aspiring artists, demonstrating the power of ___, versatility, and a strong commitment to one's craft.",persistence,Legacy,medium,Meryl Streep
521,"Katharine Hepburn was born on ___ in Hartford, Connecticut.","May 12, 1907",Basic Info,easy,Katharine Hepburn
522,Katharine Hepburn was the second of ___ children born to Thomas and Katharine Hepburn.,six,Early Life,easy,Katharine Hepburn
523,Katharine Hepburn had a long relationship with actor ___ and never married.,Spencer Tracy,Early Life,medium,Katharine Hepburn
524,"Hepburn won ___ Academy Awards for Best Actress, a record that remains unbroken.",four,Career,easy,Katharine Hepburn
525,"Notable films of Katharine Hepburn include 'Guess Who's Coming to Dinner,' 'The Lion in Winter,' and ___ .",Morning Glory,Career,medium,Katharine Hepburn
526,"Hepburn received numerous accolades, including a Kennedy Center Honor and a ___ from the American Film Institute.",Lifetime Achievement Award,Recognitions,medium,Katharine Hepburn
527,"Katharine Hepburn is remembered as one of the greatest actresses in American cinema history, known for her portrayal of strong, ___ women.",independent,Legacy,easy,Katharine Hepburn
528,"Hepburn's legacy continues to influence the film industry, serving as a symbol of resilience, talent, and ___ beauty.",unconventional,Legacy,medium,Katharine Hepburn
529,Katharine Hepburn was known for her outspoken nature and refusal to conform to the industry's ___ .,norms,Recognitions,hard,Katharine Hepburn
530,"Hepburn frequently collaborated with Spencer Tracy on several films, including 'Adam's Rib' and ___ .",Woman of the Year,Career,hard,Katharine Hepburn
531,"Audrey Hepburn was born on ___ in Ixelles, a municipality of Brussels, Belgium.","May 4, 1929",Basic Info,easy,Audrey Hepburn
532,Audrey Hepburn was married to ___ from 1954 to 1968.,Mel Ferrer,Early Life,easy,Audrey Hepburn
533,Audrey Hepburn had two sons named ___ and ___.,"Sean Hepburn Ferrer, Luca Dotti",Early Life,medium,Audrey Hepburn
534,"Audrey Hepburn starred in the film ___ (1961), which is considered a classic.",Breakfast at Tiffany's,Career,easy,Audrey Hepburn
535,Audrey Hepburn received the ___ Humanitarian Award for her work with UNICEF.,Jean Hersholt,Recognitions,medium,Audrey Hepburn
536,Audrey Hepburn collaborated with directors like ___ and ___ during her career.,"William Wyler, Billy Wilder",Career,medium,Audrey Hepburn
537,"Audrey Hepburn's early life was marked by hardships during ___, including food shortages.",World War II,Early Life,hard,Audrey Hepburn
538,Audrey Hepburn is remembered not only as an iconic actress but also as a ___ humanitarian.,compassionate,Legacy,easy,Audrey Hepburn
539,Audrey Hepburn's film career took off after her appearances in ___ and ___.,"Broadway, film",Career,hard,Audrey Hepburn
540,"Audrey Hepburn was born to Joseph Victor Anthony Hepburn-Ruston, a British banker, and ___, a Dutch baroness.",Ella van Heemstra,Early Life,medium,Audrey Hepburn
541,"Bette Davis was born on ___ in Lowell, Massachusetts.","April 5, 1908",Basic Info,easy,Bette Davis
542,Bette Davis had one sister named ___.,Barbara Davis,Early Life,easy,Bette Davis
543,Bette Davis was married to ___ from 1932 to 1938.,Harmon Nelson,Early Life,medium,Bette Davis
544,Bette Davis won two Oscars for Best Actress for her roles in ___ and ___.,"Dangerous, Jezebel",Recognitions,medium,Bette Davis
545,Bette Davis frequently collaborated with directors such as ___ and the ___ studio.,"William Wyler, Warner Brothers",Career,hard,Bette Davis
546,Davis received a Lifetime Achievement Award from the ___ in 1977.,American Film Institute,Recognitions,medium,Bette Davis
547,Bette Davis is regarded as one of the greatest actresses in the history of ___ and is known for her ability to portray ___ characters.,"cinema, complex",Legacy,hard,Bette Davis
548,Bette Davis trained at the ___ School of Drama.,John Murray Anderson,Early Life,medium,Bette Davis
549,Bette Davis had two daughters named ___ and ___.,"Barbara Merrill, Margot Merrill",Early Life,hard,Bette Davis
550,"Bette Davis starred in notable films such as 'All About Eve', 'Jezebel', and ___ .",What Ever Happened to Baby Jane?,Career,medium,Bette Davis
551,"Elizabeth Taylor was born on ___ in Hampstead, London, England.","February 27, 1932",Basic Info,easy,Elizabeth Taylor
552,"Elizabeth Taylor was the daughter of Francis Taylor, an art dealer, and ___, an actress and former stage manager.",Sara Taylor,Early Life,easy,Elizabeth Taylor
553,"Over her lifetime, Elizabeth Taylor was married ___ times to ___ different men.","eight, seven",Early Life,medium,Elizabeth Taylor
554,"Taylor's acting career kicked off with the film ___ (1944), which showcased her talent as a young girl.",National Velvet,Career,easy,Elizabeth Taylor
555,Elizabeth Taylor won ___ Academy Awards for Best Actress during her career.,two,Recognitions,easy,Elizabeth Taylor
556,Her iconic partnership with Richard Burton led to collaborations in films like ___ (1963) and ___ (1967).,"Cleopatra, The Taming of the Shrew",Career,medium,Elizabeth Taylor
557,"Elizabeth Taylor is celebrated for her beauty, her passionate personal life, and her role as a pioneering ___.",humanitarian,Legacy,easy,Elizabeth Taylor
558,Taylor's advocacy for ___ research and support for those affected by the virus earned her significant recognition.,AIDS,Recognitions,easy,Elizabeth Taylor
559,"Elizabeth Taylor had four children: Michael Wilding Jr., Christopher Edward Wilding, ___, and ___.","Liza Todd, Maria Burton",Early Life,medium,Elizabeth Taylor
560,Elizabeth Taylor signed her first film contract with Universal Pictures at the age of ___.,ten,Early Life,easy,Elizabeth Taylor
561,"Ingrid Bergman was born on ___ in Stockholm, Sweden.","August 29, 1915",Basic Info,easy,Ingrid Bergman
562,Ingrid Bergman's mother was a concert pianist named ___.,Frieda,Early Life,easy,Ingrid Bergman
563,Ingrid Bergman was married to Italian director ___ and had three daughters.,Roberto Rossellini,Early Life,medium,Ingrid Bergman
564,Ingrid Bergman starred opposite ___ in the classic film 'Casablanca' (1942).,Humphrey Bogart,Career,easy,Ingrid Bergman
565,Ingrid Bergman received ___ Academy Awards for Best Actress during her career.,three,Recognitions,easy,Ingrid Bergman
566,"Bergman faced challenges early in life, including the death of her mother when she was just a ___.",teenager,Early Life,medium,Ingrid Bergman
567,"Ingrid Bergman is remembered as one of the greatest actresses in the history of film, celebrated for her ___, beauty, and depth in acting.",talent,Legacy,easy,Ingrid Bergman
568,Ingrid Bergman collaborated with iconic filmmakers such as ___ and ___ during her career.,"Alfred Hitchcock, Roberto Rossellini",Career,hard,Ingrid Bergman
569,The scandal involving Ingrid Bergman was primarily due to her leaving her first husband for ___.,Rossellini,Recognitions,medium,Ingrid Bergman
570,Ingrid Bergman trained at the ___ in Stockholm.,Royal Dramatic Theatre,Early Life,hard,Ingrid Bergman
571,"Marilyn Monroe was born in ___, California, on June 1, 1926.",Los Angeles,Basic Info,easy,Marilyn Monroe
572,"Marilyn Monroe was married three times, to James Dougherty, Joe DiMaggio, and ___ Miller.",Arthur,Early Life,medium,Marilyn Monroe
573,Monroe's career took off in the late ___ with significant performances in films.,1940s,Career,easy,Marilyn Monroe
574,Marilyn Monroe received a Golden Globe Award for Best Actress in a Musical or Comedy for her role in ___.,Some Like It Hot,Recognitions,medium,Marilyn Monroe
575,"Marilyn Monroe is remembered as a complex figure navigating the challenges of fame, mental health, and ___ in a demanding industry.",gender,Legacy,hard,Marilyn Monroe
576,"Monroe's mother, ___ Pearl Baker, was a film cutter.",Gladys,Early Life,easy,Marilyn Monroe
577,Marilyn Monroe worked with renowned directors such as ___ Wilder.,Billy,Career,medium,Marilyn Monroe
578,"Monroe's tragic death on August 5, ___, shocked the world.",1962,Recognitions,easy,Marilyn Monroe
579,"Marilyn Monroe's films continue to be popular, and she is remembered for her talent and as a symbol of Hollywood ___ and femininity.",glamour,Legacy,medium,Marilyn Monroe
580,Marilyn Monroe had one half-sister named ___ Baker Miracle.,Berniece,Early Life,hard,Marilyn Monroe
581,"Julia Roberts was born on ___ in Smyrna, Georgia.","October 28, 1967",Basic Info,easy,Julia Roberts
582,Julia Roberts has two siblings: ___ and ___.,"Eric Roberts, Lisa Roberts Gillan",Early Life,medium,Julia Roberts
583,Julia Roberts was previously married to ___ from 1993 to 1995.,Lyle Lovett,Early Life,easy,Julia Roberts
584,Julia Roberts starred in the iconic film ___ in 1990.,Pretty Woman,Career,easy,Julia Roberts
585,Julia Roberts won the Academy Award for Best Actress for her role in ___ in 2000.,Erin Brockovich,Career,medium,Julia Roberts
586,"In 2010, Julia Roberts received the Best Actress Award at the ___ International Film Festival.",Berlin,Recognitions,easy,Julia Roberts
587,Julia Roberts has been named one of People magazine's 'Most Beautiful People' ___ times.,multiple,Recognitions,hard,Julia Roberts
588,"Julia Roberts is known for her charm and ability to connect with audiences, making her one of Hollywood's most ___ stars.",bankable,Legacy,easy,Julia Roberts
589,"Through her body of work, Julia Roberts has left an indelible mark on ___, ensuring her place as a beloved icon.",cinema,Legacy,medium,Julia Roberts
590,Julia Roberts has collaborated with directors such as ___ and ___ throughout her career.,"Gary Marshall, Steven Soderbergh",Career,hard,Julia Roberts
591,"Nicole Kidman was born on ___ in Honolulu, Hawaii, USA.","June 20, 1967",Basic Info,easy,Nicole Kidman
592,Nicole Kidman has been married to ___ since 2006.,Keith Urban,Early Life,easy,Nicole Kidman
593,"Nicole Kidman has four children: Bella and Connor, and ___ and ___ with Keith Urban.","Sunday Rose, Faith Margaret",Early Life,medium,Nicole Kidman
594,Nicole Kidman gained international fame with the film ___ alongside Tom Cruise.,Days of Thunder,Career,easy,Nicole Kidman
595,Nicole Kidman collaborated with Stanley Kubrick in ___ and with Baz Luhrmann in ___ .,"Eyes Wide Shut, Moulin Rouge!",Career,medium,Nicole Kidman
596,Nicole Kidman won an Academy Award for Best Actress for her role in ___ in 2002.,The Hours,Recognitions,easy,Nicole Kidman
597,Nicole Kidman has received a Primetime Emmy Award for her performance in ___ .,Big Little Lies,Recognitions,medium,Nicole Kidman
598,Nicole Kidman is known for her advocacy in ___ and ___ awareness.,"women's rights, mental health",Legacy,hard,Nicole Kidman
599,"Nicole Kidman is regarded as one of the most talented actresses of her generation, known for her ability to inhabit ___ roles.",diverse,Legacy,easy,Nicole Kidman
600,Nicole Kidman's production company is called ___.,Blossom Films,Career,hard,Nicole Kidman
601,"Cate Blanchett was born on ___ in Melbourne, Australia.","May 14, 1969",Basic Info,easy,Cate Blanchett
602,"Cate Blanchett's father, ___, was a merchant navy officer.",Bob Blanchett,Early Life,easy,Cate Blanchett
603,Cate Blanchett graduated from the University of Melbourne with a Bachelor of Fine Arts (___) in 1992.,Acting,Early Life,medium,Cate Blanchett
604,Cate Blanchett received her first Academy Award nomination for the film ___.,Elizabeth,Career,easy,Cate Blanchett
605,Cate Blanchett has won ___ Academy Awards throughout her career.,two,Recognitions,easy,Cate Blanchett
606,"In 2012, Cate Blanchett was named a Knight of the Order of ___ and Letters in France.",Arts,Recognitions,medium,Cate Blanchett
607,Cate Blanchett has collaborated with directors such as ___ in 'The Lord of the Rings' trilogy.,Peter Jackson,Career,medium,Cate Blanchett
608,"Cate Blanchett has three children: Dashiell, Roman, and ___.",Ignatius,Early Life,easy,Cate Blanchett
609,Cate Blanchett is known for her commitment to her craft and her ability to inhabit a wide range of ___.,characters,Legacy,medium,Cate Blanchett
610,"Through her work, Cate Blanchett has advanced discussions on ___ equity in Hollywood.",gender,Legacy,hard,Cate Blanchett
611,"Jodie Foster was born in ___, California, on November 19, 1962.",Los Angeles,Basic Info,easy,Jodie Foster
612,Jodie Foster's parents are Evelyn Ella and ___ Fisher Foster III.,Lucius,Early Life,easy,Jodie Foster
613,"Jodie Foster is married to ___, an actress and director, whom she wed in 2014.",Alexandra Hedison,Early Life,easy,Jodie Foster
614,Foster graduated from ___ University with a degree in literature.,Yale,Early Life,medium,Jodie Foster
615,Jodie Foster gained prominence with her performance in ___ (1976).,Taxi Driver,Career,easy,Jodie Foster
616,Foster has collaborated with directors such as Martin Scorsese and ___.,Jonathan Demme,Career,medium,Jodie Foster
617,Jodie Foster won an Academy Award for Best Actress for her role in ___ (1991).,The Silence of the Lambs,Career,medium,Jodie Foster
618,Foster received the Cecil B. DeMille Award at the Golden Globes in ___ for her lifetime achievements in film.,2018,Recognitions,easy,Jodie Foster
619,Jodie Foster has received ___ Academy Awards throughout her career.,two,Recognitions,easy,Jodie Foster
620,"Jodie Foster is known for her intelligence and depth in her roles, and is often regarded as one of the most talented actresses of her generation, known for her advocacy for ___ and LGBTQ+ issues.",women's rights,Legacy,medium,Jodie Foster
621,Jodie Foster's contributions to cinema and her advocacy work have solidified her legacy as a pioneering figure in ___.,Hollywood,Legacy,easy,Jodie Foster
622,Jodie Foster transitioned to directing with works like 'Little Man Tate' (1991) and ___ (2016).,Money Monster,Career,hard,Jodie Foster
623,"Susan Sarandon was born on ___ in New York City, New York.","October 4, 1946",Basic Info,easy,Susan Sarandon
624,Susan Sarandon's father was an ___ executive.,advertising,Early Life,easy,Susan Sarandon
625,"Susan Sarandon has three children: Eva Amurri, Jack Henry Robbins, and ___ Robbins.",Miles,Early Life,medium,Susan Sarandon
626,"Susan Sarandon gained critical acclaim for her performances in films such as 'Atlantic City,' 'Thelma & Louise,' and ___ Man Walking.",Dead,Career,medium,Susan Sarandon
627,"Throughout her career, Sarandon has received numerous accolades, including an Academy Award, a ___ Award, and several Golden Globe Awards.",BAFTA,Recognitions,medium,Susan Sarandon
628,Susan Sarandon was in a long-term relationship with fellow actor ___ Robbins.,Tim,Early Life,easy,Susan Sarandon
629,Susan Sarandon's career took off in the early 1970s with a role in the cult classic '___ Horror Picture Show.',The Rocky,Career,easy,Susan Sarandon
630,"Sarandon is known for her activism in various social and political causes, including women's rights, ___ rights, and environmental issues.",LGBTQ+,Recognitions,medium,Susan Sarandon
631,Susan Sarandon attended ___ High School in New Jersey.,Edison,Early Life,easy,Susan Sarandon
632,"Susan Sarandon is remembered for her contributions to cinema and society, making her an ___.",icon,Legacy,easy,Susan Sarandon
633,Susan Sarandon was influenced to pursue acting by her mother and her early experiences in ___.,theatre,Early Life,hard,Susan Sarandon
634,"Over the years, Susan Sarandon has collaborated with various prominent directors and actors, including David Mamet, the ___ Brothers, and Anthony Hopkins.",Coen,Career,hard,Susan Sarandon
635,Susan Sarandon's performance in 'Dead Man Walking' earned her an Academy Award for ___ Actress.,Best,Career,hard,Susan Sarandon
636,"Diane Keaton was born on ___ in Los Angeles, California.","January 5, 1946",Basic Info,easy,Diane Keaton
637,"Diane Keaton is the daughter of George Hamilton Keaton, a ___ broker.",real estate,Early Life,easy,Diane Keaton
638,Diane Keaton has two adopted children: a daughter named ___ and a son named ___.,"Dexter, Duke",Early Life,medium,Diane Keaton
639,Diane Keaton gained fame in the late 1960s with her role in the Broadway production of ___.,Hair,Career,easy,Diane Keaton
640,Diane Keaton won an Academy Award for Best Actress for her role in ___ (1977).,Annie Hall,Career,easy,Diane Keaton
641,"Diane Keaton has collaborated with Woody Allen in several films, including ___ (1973) and ___ (1979).","Sleeper, Manhattan",Career,medium,Diane Keaton
642,"Diane Keaton received a star on the Hollywood Walk of Fame in ___, marking her influence in the film industry.",2003,Recognitions,easy,Diane Keaton
643,"Diane Keaton is known for her unique sense of style, often characterized by her signature ___.",turtlenecks,Legacy,easy,Diane Keaton
644,Diane Keaton has influenced contemporary actresses and filmmakers by encouraging a portrayal of women that embraces both ___ and ___.,"strength, vulnerability",Legacy,medium,Diane Keaton
645,"Diane Keaton was nominated for several Academy Awards for her performances in ___, ___, and ___ .","The Godfather, Reds, Something's Gotta Give",Recognitions,hard,Diane Keaton
646,"Jessica Lange was born on ___ in Cloquet, Minnesota.","April 20, 1949",Basic Info,easy,Jessica Lange
647,Jessica Lange's mother was a ___ and her father was a ___.,"schoolteacher, pharmacist",Early Life,medium,Jessica Lange
648,Jessica Lange was married to ___ from 1971 to 1982.,Sam Shepard,Early Life,easy,Jessica Lange
649,Jessica Lange has two daughters: ___ with Sam Shepard and ___ with Pablo Schreiber.,"Hannah Jane, Julia",Early Life,medium,Jessica Lange
650,Jessica Lange has worked with directors such as ___ and ___ in her career.,"Francis Ford Coppola, Brian De Palma",Career,medium,Jessica Lange
651,Jessica Lange won an Oscar for her roles in ___ and ___.,"Blue Sky, Tootsie",Career,medium,Jessica Lange
652,Jessica Lange has received ___ Academy Awards and ___ Primetime Emmy Awards.,"two, three",Recognitions,hard,Jessica Lange
653,"In addition to acting, Jessica Lange is recognized for her work as a ___ and her advocacy for ___ causes.","photographer, charitable",Recognitions,medium,Jessica Lange
654,Jessica Lange is celebrated for her contributions to the arts and has left a lasting impact on ___ and ___.,"American cinema, theater",Legacy,hard,Jessica Lange
655,Jessica Lange's ability to portray ___ characters with depth and emotion has set a standard for actors.,complex,Legacy,easy,Jessica Lange
656,"Glenn Close was born on ___ in Greenwich, Connecticut.","March 19, 1947",Basic Info,easy,Glenn Close
657,"Glenn Close's father, William Taliaferro Close, was a prominent ___ admiral.",United States Navy,Early Life,easy,Glenn Close
658,"Close has been married ___ times, with her most notable marriage being to James Marlas.",three,Early Life,medium,Glenn Close
659,"Glenn Close's notable roles include performances in 'Fatal Attraction', 'Dangerous Liaisons', and ___ .",The Wife,Career,medium,Glenn Close
660,"Throughout her career, Close has been nominated for ___ Academy Awards and has won ___ Tony Awards.","eight, three",Recognitions,hard,Glenn Close
661,Glenn Close is known for her advocacy for ___ awareness stemming from her family's struggles.,mental health,Recognitions,medium,Glenn Close
662,Close's legacy is defined by her powerful performances and contributions to the ___ .,arts,Legacy,easy,Glenn Close
663,Her portrayal of ___ in 'Sunset Boulevard' on Broadway is particularly notable.,Norma Desmond,Career,medium,Glenn Close
664,Glenn Close studied drama at the College of ___ & Mary.,William,Early Life,easy,Glenn Close
665,Close has collaborated with directors like Joe Wright and ___ .,Peter Weir,Career,medium,Glenn Close
666,"Helen Mirren was born on ___ in Hammersmith, London, England.","July 26, 1945",Basic Info,easy,Helen Mirren
667,"Helen Mirren's father, ___, was a Russian émigré and a former soldier.",Vasily Mironoff,Early Life,easy,Helen Mirren
668,Helen Mirren has been married to director ___ since 1997.,Taylor Hackford,Early Life,easy,Helen Mirren
669,Helen Mirren gained international acclaim for her portrayal of ___ in the film 'The Queen' (2006).,Queen Elizabeth II,Career,easy,Helen Mirren
670,"Helen Mirren starred in the acclaimed TV series 'Prime Suspect,' where she played the complex detective ___ ___ .",Jane Tennison,Career,easy,Helen Mirren
671,Helen Mirren received an Academy Award for Best Actress for her performance in ___ .,The Queen,Recognitions,medium,Helen Mirren
672,"In 2003, Helen Mirren was appointed a Dame Commander of the Order of the ___ ___ of the British Empire.",British Empire (DBE),Recognitions,medium,Helen Mirren
673,"Helen Mirren's career spans over ___ decades, characterized by her versatility in film, television, and stage.",five,Career,medium,Helen Mirren
674,"Helen Mirren is celebrated for breaking barriers in the film industry, particularly regarding the representation of ___ ___ in lead roles.",older women,Legacy,medium,Helen Mirren
675,Helen Mirren has collaborated with esteemed directors such as ___ and ___ .,"Peter Greenaway, Alfred Hitchcock",Career,hard,Helen Mirren
676,"Helen Mirren has received multiple awards, including ___ BAFTA Awards and multiple ___ Awards.","four, Emmy",Recognitions,hard,Helen Mirren
677,Helen Mirren trained at the University of ___ and began performing in theatre productions while in her late teens.,Kent,Early Life,hard,Helen Mirren
678,"Judi Dench was born on ___ in Heworth, York, England.","December 9, 1934",Basic Info,easy,Judi Dench
679,Judi Dench's father was a ___ and her mother was a former actress.,doctor,Early Life,easy,Judi Dench
680,Judi Dench was married to ___ from 1971 until his death in 2001.,Michael Williams,Early Life,easy,Judi Dench
681,Dench gained fame for her role as ___ in the James Bond film series.,M,Career,easy,Judi Dench
682,Judi Dench won an Academy Award for Best Supporting Actress for her role in ___ .,Shakespeare in Love,Career,medium,Judi Dench
683,"In 1988, Judi Dench was elevated to a ___ for her services to drama.",Dame Commander of the Order of the British Empire (DBE),Recognitions,hard,Judi Dench
684,Judi Dench has inspired generations of actors and is regarded as one of the greatest ___ of her time.,actresses,Legacy,easy,Judi Dench
685,"Dench has received numerous awards, including an Academy Award, several ___ Awards, and multiple Olivier Awards.",BAFTA,Recognitions,medium,Judi Dench
686,"Judi Dench's legacy is marked by her versatility, powerful performances, and deep commitment to her ___.",craft,Legacy,easy,Judi Dench
687,Judi Dench trained at the ___ and displayed an interest in acting from an early age.,London Drama School,Early Life,medium,Judi Dench
688,"Maggie Smith was born in ___, Essex, England.",Ilford,Basic Info,easy,Maggie Smith
689,Maggie Smith's parents are ___ and Nathaniel Smith.,Margaret Hutton,Early Life,easy,Maggie Smith
690,Maggie Smith was married to Beverley Cross from ___ until his death in 2008.,1975,Early Life,medium,Maggie Smith
691,Maggie Smith gained prominence in the 1960s with roles in plays such as 'The Royal Family' and films like '___'.,The Prime of Miss Jean Brodie,Career,medium,Maggie Smith
692,Maggie Smith has received ___ Academy Awards and ___ BAFTA Awards.,"two, three",Recognitions,hard,Maggie Smith
693,Maggie Smith was honored with a knighthood as a Dame Commander of the Order of the British Empire (DBE) in ___ and received the Laurence Olivier Award for Lifetime Achievement in ___ .,"1990, 2018",Recognitions,hard,Maggie Smith
694,"Maggie Smith is celebrated for her powerful performances, versatility, and contributions to the arts, inspiring generations of ___ and remaining a beloved figure in both British and global cinema.",actors,Legacy,medium,Maggie Smith
695,Maggie Smith's performances are often cited as benchmarks of excellence in ___ .,acting,Legacy,easy,Maggie Smith
696,"Vanessa Redgrave was born on ___ in Blackheath, London, England.","January 30, 1937",Basic Info,easy,Vanessa Redgrave
697,"Vanessa Redgrave's father was Sir ___ Redgrave, a distinguished actor.",Michael,Early Life,easy,Vanessa Redgrave
698,Vanessa Redgrave was married to director ___ from 1961 until their divorce in 1967.,Tony Richardson,Early Life,medium,Vanessa Redgrave
699,"Some of Vanessa Redgrave's most acclaimed works include 'Blow-Up' (1966), 'Julia' (1977), and ___ (2007).",Atonement,Career,medium,Vanessa Redgrave
700,Vanessa Redgrave has received an Academy Award for Best Supporting Actress for her role in '___'.,Julia,Recognitions,easy,Vanessa Redgrave
701,"In addition to her artistic achievements, Vanessa Redgrave has been recognized for her commitment to humanitarian causes, including her advocacy for ___ and opposing war.",refugees,Recognitions,medium,Vanessa Redgrave
702,"Vanessa Redgrave's family includes her brother Corin Redgrave and sister ___, both of whom were also prominent actors.",Lynn Redgrave,Early Life,easy,Vanessa Redgrave
703,"Vanessa Redgrave's performances are characterized by their emotional depth and range, contributing significantly to her stature as one of the foremost actresses of her generation, alongside directors like Franco Zeffirelli and ___.",Ken Russell,Career,hard,Vanessa Redgrave
704,"Vanessa Redgrave has three children: Joely Richardson, the late Natalie Richard, and a son from her relationship with ___, whom she later married.",Franco Nero,Early Life,medium,Vanessa Redgrave
705,"Vanessa Redgrave's influence on film, theater, and activism has made her a vital figure in both arts and ___ justice.",social,Legacy,easy,Vanessa Redgrave
706,"Sophia Loren was born on ___ in Rome, Italy.","September 20, 1934",Basic Info,easy,Sophia Loren
707,"Sophia Loren's mother, ___, was a piano teacher.",Romilda Villani,Early Life,easy,Sophia Loren
